country,city_ascii,population,2019 GDP per capita,1960 urban population%,2019 urban population%,change of urbanization % since 1960,2014 usable water per capita,2019 FDI data
Panama,14,1631065.0,15731.01603,41.249,68.059,26.81,35013.835080000004,6068041578.0
Papua New Guinea,21,849653.0,2845.180186,3.725,13.25,9.525,100796.1639,333974905.4
Paraguay,31,3432268.0,5414.799138,35.569,61.879,26.309999999999995,17728.54596,391823179.8
Peru,97,21270292.0,6977.695784000001,46.81100000000001,78.09899999999998,31.287999999999986,54535.74017000001,8891912000.0
Philippines,147,62547674.0,3485.084218,30.297,47.149,16.851999999999997,4765.546172,7685339334.0
Poland,209,15534260.0,15595.227030000002,47.892,60.037,12.145000000000005,1410.090857,15973000000.0
Portugal,225,8318471.0,23145.04082,34.955,65.764,30.809,3653.473078,8270971798.0
Puerto Rico,56,1540117.0,32873.71927,44.547,93.576,49.02900000000001,2008.558155,
Qatar,1,1312947.0,64781.7332,85.275,99.188,13.912999999999982,22.77165157,-2812637363.0
Romania,237,9285451.0,12919.52964,34.209,54.084,19.874999999999996,2128.687764,6911103583.0
Rwanda,16,1545603.0,801.656187,2.6,17.313,14.713,857.119528,420159000.0
Samoa,1,37708.0,4315.920675,18.926,18.056,-0.870000000000001,,1019329.508
San Marino,1,4040.0,,48.9,97.368,48.468,,
Saudi Arabia,42,22326971.0,23139.79866,31.25,84.065,52.815,77.62721046,4562572837.0
Senegal,15,2632879.0,1446.830965,23.0,47.653,24.653000000000002,1820.140361,983338154.0
Serbia,47,3628632.0,7402.354559,,56.26,,1179.0071380000004,4281889582.0
Seychelles,1,26450.0,17401.72151,27.673,57.119,29.446,,235678362.2
Sierra Leone,5,1489035.0,504.4625434,17.352,42.484,25.131999999999994,22801.29922,367700000.0
Singapore,1,5745000.0,65233.28244,100.0,100.0,0.0,109.6947488,105466000000.0
Slovenia,23,708978.0,25739.24781,28.204,54.822,26.617999999999995,9054.404019,1709955186.0
Solomon Islands,2,90674.0,2127.538508,5.768,24.21,18.442,76139.66774,32787092.72
Somalia,16,2970039.0,,17.312,45.554,28.241999999999994,446.9747853,447000000.0
South Africa,102,15428030.0,6001.400814,46.619,66.85600000000001,20.237000000000013,821.3252556,4624502604.0
South Sudan,14,1406299.0,,8.748,19.899,11.151000000000002,2463.314847,-231840000.0
Spain,125,22741191.0,29613.67114,56.567,80.565,23.998,2392.381453,11431907234.0
Sri Lanka,19,2259322.0,3853.083693,16.430999999999994,18.585,2.1540000000000035,2541.149293,758186663.2
Sudan,32,15752339.0,441.5056034,10.746,34.936,24.19,101.6511346,
Suriname,11,312458.0,6854.906561,47.26,66.095,18.835,178935.1731,72402793.87
Sweden,51,4057311.0,51610.06606000001,72.49,87.708,15.218000000000005,17635.93854,24397856108.0
Switzerland,161,4004627.0,81993.72715,70.92399999999998,73.84899999999998,2.924999999999997,4933.658776,-18382529056.0
Tajikistan,16,1515690.0,870.7875892999998,33.168,27.309,-5.858999999999997,7689.480691,212809730.7
Tanzania,54,11272114.0,1122.12181,5.246,34.5,29.254,1681.351066,1112400000.0
Thailand,181,23598357.0,7808.192916,19.672,50.692,31.02,3280.306341,6130101142.0
Timor-Leste,8,297027.0,1294.188934,10.091,30.947,20.856,6995.4723159999985,74580323.02
Togo,7,1218460.0,675.5422133,10.098,42.24800000000001,32.15000000000001,1611.096222,133312924.1
Tonga,2,31962.0,,17.552,23.107,5.555,,1282630.871
Tunisia,26,3645708.0,3317.541013,37.511,69.25399999999999,31.742999999999995,379.18501160000005,810173457.7
Turkey,196,70958511.0,9042.492983,31.515,75.63,44.115,2939.199727,8787000000.0
Turkmenistan,21,2454403.0,,46.412,52.048,5.636000000000003,257.0281183,2165862500.0
Tuvalu,1,6025.0,4059.029996,15.895,63.215,47.32000000000001,,298862.0826
Uganda,38,3790816.0,776.7685759,4.417,24.361,19.944000000000006,1056.562734,1266026788.0
Ukraine,315,25564289.0,3659.031312,46.792,69.473,22.681,1217.083631,5833000000.0
United Arab Emirates,9,6235798.0,43103.32306,73.5,86.789,13.289,16.27926537,13787465940.0
United Kingdom,1794,72554974.0,42300.26713,78.444,83.652,5.207999999999998,2244.5022,20696989466.0
United States,7768,400521452.0,65118.35833,69.99600000000001,82.459,12.462999999999996,8853.25503,351631000000.0
Uruguay,54,2804032.0,16190.12696,80.241,95.426,15.185000000000002,27114.18601,968813451.1
Uzbekistan,55,8086374.0,1724.841134,33.978,50.433,16.455,531.2490856000002,2314621446.0
Vanuatu,2,64834.0,3058.065675,10.404000000000002,25.394,14.99,37894.86449,41000000.0
Vietnam,65,37934404.0,2715.276036,14.7,36.628,21.928,3918.678374,16120000000.0
Zambia,34,4743400.0,1291.343357,18.145,44.072,25.927,5207.8757369999985,547967909.6
Zimbabwe,24,3659454.0,1463.98591,12.608,32.21,19.602000000000004,902.3542983,280000000.0
