Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Central African Republic,CAF,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,90855.78416,,,,,82538.09924,,,,,75490.60865,,,,,69120.39154,,,,,60376.82849,,,,,53271.07041,,,,,47647.43332,,,,,41563.05381,,,,,37084.49584,,,,,33587.34257,,,,,31782.41891,,31584.7833,,,,,,
Canada,CAN,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,153110.5619,,,,,139623.7507,,,,,128271.6991,,,,,120122.1807,,,,,113469.2273,,,,,107764.321,,,,,100453.7549,,,,,95298.76799,,,,,90879.8731,,,,,86655.04678,,,,,82098.91612,,80423.42794,,,,,,
Central Europe and the Baltics,CEB,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,1833.887491,,,,,1755.647577,,,,,1691.88173,,,,,1620.346215,,,,,1570.040011,,,,,1533.386346,,,,,2375.556973,,,,,2286.651407,,,,,2339.29116,,,,,2374.387671,,,,,2407.362625,,2417.577175,,,,,,
Switzerland,CHE,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,7248.177415,,,,,6742.565029,,,,,6452.688695,,,,,6431.918619,,,,,6321.083834,,,,,6172.550911,,,,,5876.052526,,,,,5699.045805,,,,,5545.829763,,,,,5350.201831,,,,,5051.982272,,4933.658776,,,,,,
Channel Islands,CHI,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,104401.4101,,,,,95037.69023,,,,,87591.89974,,,,,81023.33664,,,,,75358.20052,,,,,69999.62983,,,,,64505.22416,,,,,59853.02532,,,,,56425.46047,,,,,53538.38839,,,,,50861.05467,,49834.00209,,,,,,
China,CHN,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,4225.182871,,,,,3728.049831,,,,,3263.227498,,,,,2981.594247,,,,,2788.931521,,,,,2594.934665,,,,,2414.654455,,,,,2286.852428,,,,,2196.969697,,,,,2134.480626,,,,,2082.631534,,2061.908566,,,,,,
Cote d'Ivoire,CIV,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,20377.82244,,,,,16909.60097,,,,,13780.39389,,,,,10935.74948,,,,,8766.696684,,,,,7182.520713,,,,,5997.305271,,,,,5078.429147,,,,,4459.265072,,,,,4008.087741,,,,,3566.126587,,3392.841555,,,,,,
Cameroon,CMR,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,50567.45764,,,,,45105.92457,,,,,39754.32121,,,,,34611.46413,,,,,29781.33302,,,,,25440.16139,,,,,21840.87538,,,,,19031.75228,,,,,16689.48786,,,,,14575.3278,,,,,12706.38213,,12036.05101,,,,,,
"Congo, Dem. Rep.",COD,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,56105.56324,,,,,48969.9311,,,,,42610.88643,,,,,37114.7336,,,,,32470.70574,,,,,28545.41328,,,,,24106.76791,,,,,20535.20213,,,,,18046.31913,,,,,15396.80571,,,,,13039.55751,,12200.50356,,,,,,
"Congo, Rep.",COG,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,207624.4952,,,,,182035.7003,,,,,157836.1377,,,,,136262.4439,,,,,117779.6936,,,,,102241.9071,,,,,89158.34522,,,,,77425.29505,,,,,67061.64566,,,,,57273.78339,,,,,49221.78583,,46865.36173,,,,,,
Colombia,COL,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,125490.5687,,,,,108128.4899,,,,,95263.79077,,,,,85238.97412,,,,,76329.57852,,,,,68760.10906,,,,,62313.76862,,,,,56860.65561,,,,,52476.60204,,,,,49042.56565,,,,,46552.6635,,45668.21638,,,,,,
Comoros,COM,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,6085.254414,,,,,5558.205996,,,,,5015.988463,,,,,4349.401957,,,,,3670.33088,,,,,3185.947846,,,,,2749.468436,,,,,2390.662074,,,,,2107.189203,,,,,1870.265889,,,,,1657.753937,,1580.215699,,,,,,
Cabo Verde,CPV,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,1427.606095,,,,,1211.988995,,,,,1103.578168,,,,,1097.554283,,,,,1019.527347,,,,,934.1865571,,,,,843.2722336,,,,,742.0985062,,,,,677.2758161,,,,,631.4991791,,,,,593.783091,,578.8499795,,,,,,
Costa Rica,CRI,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,78837.11763,,,,,66598.61428,,,,,58122.51918,,,,,51232.87609,,,,,44781.66757,,,,,39170.13392,,,,,34382.87307,,,,,30384.92865,,,,,27554.75899,,,,,25654.83396,,,,,24104.09556,,23564.26873,,,,,,
Caribbean small states,CSS,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,85348.58743,,,,,78848.58354,,,,,74128.21898,,,,,70064.96135,,,,,66141.61735,,,,,63034.2502,,,,,60786.3971,,,,,58253.97363,,,,,56257.07328,,,,,54376.50081,,,,,52536.91501,,51798.89411,,,,,,
Cuba,CUB,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,5114.34835,,,,,4611.450236,,,,,4223.661256,,,,,3951.838984,,,,,3834.887761,,,,,3705.77651,,,,,3550.542655,,,,,3468.692412,,,,,3403.67749,,,,,3388.106537,,,,,3386.307007,,3371.392093,,,,,,
Curacao,CUW,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,1350.20279,,,,,1319.1095,,,,,1242.042172,,,,,1172.007062,,,,,1127.653238,,,,,1078.27741,,,,,974.255912,,,,,875.2342374,,,,,798.3917524,,,,,733.2804995,,,,,687.1968185,,676.9158672,,,,,,
Czech Republic,CZE,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1276.187191,,,,,1289.605602,,,,,1276.844317,,,,,1251.095898,,1249.364985,,,,,,
Germany,DEU,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,1445.442307,,,,,1390.489179,,,,,1359.792921,,,,,1368.989952,,,,,1365.956877,,,,,1374.616007,,,,,1327.1384,,,,,1304.324967,,,,,1297.150591,,,,,1300.652957,,,,,1330.418465,,1321.273115,,,,,,
Djibouti,DJI,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,3184.57815,,,,,2283.15715,,,,,1673.882962,,,,,1081.162899,,,,,778.6726746,,,,,611.8328473,,,,,487.7620502,,,,,453.9518781,,,,,401.6376104,,,,,372.4621361,,,,,345.5679755,,333.8169971,,,,,,
Dominica,DMA,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,3226.743248,,,,,2954.82079,,,,,2788.194783,,,,,2723.311547,,,,,2666.560004,,,,,2783.886863,,,,,2835.110002,,,,,2832.901316,,,,,2863.811447,,,,,2825.058267,,,,,2818.290707,,2813.533094,,,,,,
Denmark,DNK,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,1290.953621,,,,,1240.860545,,,,,1202.020356,,,,,1179.148179,,,,,1172.376466,,,,,1170.269536,,,,,1160.234135,,,,,1135.290486,,,,,1116.085753,,,,,1098.611758,,,,,1073.043502,,1063.174728,,,,,,
Dominican Republic,DOM,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,6674.206153,,,,,5699.606024,,,,,4941.68912,,,,,4345.815996,,,,,3872.922013,,,,,3491.8624,,,,,3172.099776,,,,,2906.830396,,,,,2693.41746,,,,,2516.366825,,,,,2366.348868,,2311.81392,,,,,,
Algeria,DZA,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,968.1726786,,,,,847.4559673,,,,,735.9680335,,,,,639.8260492,,,,,550.0441942,,,,,473.2003706,,,,,416.2299952,,,,,378.2405253,,,,,353.1615604,,,,,329.2653502,,,,,300.9317891,,289.0270904,,,,,,
East Asia & Pacific (excluding high income),EAP,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,9693.382495,,,,,8527.560234,,,,,7465.477628,,,,,6766.836535,,,,,6251.707358,,,,,5754.665728,,,,,5316.740766,,,,,4992.765852,,,,,4750.181471,,,,,4566.45966,,,,,4405.315465,,4341.731962,,,,,,
