Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Antigua and Barbuda,ATG,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,2200000,-6900000,8500000,19600000,22400000,23000000,5000000,4400000,15600000,22600000,38596296.3,32951851.85,43107407.41,60607407.41,54792592.59,19648148.15,15240740.74,24788888.89,31485185.19,19351851.85,22944444.44,22774074.07,51792533.33,43115925.93,98452222.22,65865064.81,166321143.7,80366585.19,220963374.1,358820163.7,338204733.3,158783774.4,80646652.59,96679207.78,65160596.3,129367138.9,134288999.6,46263101.05,114024660.1,97431976.47,156934594.9,135127898.8,139466666.7,
Australia,AUS,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,893138535.6,1155158059,1054014675,135039666.1,1327729912,449028697.3,1047313647,1141019599,1676855615,1489983133,1866223965,2346546543,2286321730,2990964045,428250491.4,2098624894,5369760089,5190522203,8476377245,8023170407,8457776860,2612066526,4941906672,5312435142,4458484244,13268875155,4563952446,8088068983,7597610928,2210917992,14892978180,10717133151,14656321801,8985246030,42907672820,-25093141435,30551100657,44440090038,45160024271,28683266148,35210733743,65554890650,57550426823,53997299140,63195482812,46892808568,42980709072,47541126472,61079477673,40074777481,
Austria,AUT,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,112650000,142730000,145400000,160760000,177050000,79110000,91230000,96810000,142390000,187430000,239300000,327520000,207920000,216120000,115240000,169167935.4,183400907.8,395491398.1,445427083.6,581979789.4,653000000,360000000,1485518380,1125106168,2075823025,1825089897,4323515257,2668974480,4571855469,2974499988,8501013451,5689434546,138346430.8,6195021861,3183649650,81096089418,10500457158,68865787583,6301143682,14300064389,-22007325156,22983942932,5218620113,451107665.2,1712175274,-7975773544,-28939340169,13518864836,-28555242263,-8100275768,
Azerbaijan,AZE,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22000000,330050000,627277000,1114838000,1022967000,510317000,129937000,819579000,2024577000,4007330000,4719107000,4476396000,4485966000,4594234000,3986807000,2900030000,3352997000,4485120000,5293250000,2619437000,4430466000,4047630000,4499666000,2867487000,1402998000,1503918000,
Burundi,BDI,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,100000,,410000,440000,220000,320000,80000,-250000,890000,-300000,4600000,11080000,900000,3040000,1190000,538566.543,1524028.632,1367714.123,1196623.811,567226.8908,1255434.743,892500.1067,600088.333,473679.8748,3957.848909,1981922.465,0,0,0,-475191.3053,11683246.08,-11440.9127,0,0,44690.7076,584701.6926,31593.77819,500245.0931,3833208.348,348404.5346,780582.0036,3354999.181,604919.6515,116727136.5,81747197.23,49622865.77,55420.35666,316473.4494,983747.125,1044960.501,
Belgium,BEL,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,314000000,428000000,386000000,719000000,1137000000,954600000,871790000,1274930000,1435800000,1130080000,1544780000,1386450000,1472180000,1289700000,389370000,1051490000,729860000,2354920000,5212470000,7020270000,8046730000,9362560000,11285800000,10750000000,8513580000,10688700000,14063900000,11998300000,22690500000,1.19693E+11,88738714000,88203254000,18118954671,34559267490,44498165771,33662010794,58821552824,96551634531,1.90392E+11,77354509260,1.25492E+11,1.63624E+11,11810272331,-29640924980,-15205871358,-19514245855,57538351507,-37288840312,-42501691432,-28965673808,
Benin,BEN,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,6700000,2800000,4800000,3500000,-2343120.329,1889760.249,2452390.826,3126021.572,753359.5619,3568043.123,4316555.846,2090299.061,-12172.62291,10496.86832,11442.7823,-90000,1100000,100000,-21662039.9,-1118466.198,-2954844.091,393822.3295,954317.4336,-21635980.33,-7107468.706,-7738379.607,-14661253.78,12183267.34,11294143.5,9314781.877,-12794843.61,16739539.34,-19395622.7,10638088.26,-40774605.06,-8788860.127,-12363482.36,139189943,48210757.85,-18807407.38,53507087.74,161302390.8,281548556.3,360343380.3,405737328.6,149755663.3,131790853.8,200902719.3,194073683.2,230191998.5,
Burkina Faso,BFA,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,400000,1000000,-700000,4400000,2670000,300000,2050000,4970000,1160000,1490000,20000,2430000,1950000,1980000,1670000,-1430000,3140000,1330000,3710000,5670000,460000,570000,3113052.151,3178381.356,18371592.47,9816727.704,16225134.49,9765809.046,4407138.208,7925950.83,23107520.48,6267060.825,15026083.66,29122505.16,14348315.78,52130040.88,83849256.07,21711800.9,33190579.88,56653992.33,38870701.36,143845512.3,329281976,490403410.5,357296974.3,231901703.7,390622353.4,2572690.322,268414907.9,207950227.8,
Bangladesh,BGD,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,90000,2340000,2200000,1543333.333,5420000,6980000,7700000,-8010000,8510000,5360000,6960000,403978.5575,-553269.3983,-6660000,2436499.344,3205086.762,1838242.499,247908.2739,3238781.189,1390444.322,3721853.382,14049886.52,11147788.33,1896372.127,13529831.54,139376153.1,190059373,179603006.3,280384629.7,78527040.08,52304931.04,268285231.8,448905400.7,813321971.9,456523167.7,651029738.1,1328422987,901286583.1,1232258247,1264725163,1584403460,2602962095,2539190940,2831152765,2332724781,1810395804,2421626238,2003078501,
Bulgaria,BGR,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,4000000,55900000,41500000,40000000,105400000,90400000,109000000,504800000,537317256.2,818788154.9,1001503842,812942202,904659791.1,2096788700,3072550962,4098122931,7874476255,13875270457,10296720634,3896664559,1842900000,2103810000,1788110000,1989040000,1093600000,2179500000,1476500000,2020340000,1222580000,1504060000,
Bahrain,BHR,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,3400000,110000,1320000,3210000,650000,22970508.34,145171539.9,-418036875,4150000,28457446.88,64095744.85,140691489.5,101329787.2,-31914893.62,-35904255.32,222074468.1,180851063.8,91755319.15,619414893.6,868617021.3,-275000007.9,208244700.2,430586743.7,2048151880,329284164.2,179454413.3,453737838,363562321.9,80358858.37,216986881.6,516700276.4,865308118.6,1048601306,2914659868,1756312515,1793998355,257149561.4,155771009.2,780851063.8,1544680851,3727712766,1518617021,64893617.02,243351063.8,518882978.7,111170212.8,941755319.1,
"Bahamas, The",BHS,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,80320000,54660000,90430000,102250000,143440000,17580000,14600000,31400000,-1100000,9600000,4100000,34400000,2800000,-6000000,-4900000,-30200000,-13200000,10800000,36700000,25400000,-17000000,-1300000,300000,27300000,23600000,106900000,87800000,210000000,146900000,149300000,250250000,102370000,152790000,190200000,273600000,563414700,706380000,713350000,860156197,663960000,871970000,666621000,526171000,382252000,251277428.8,76075924.75,390400036.4,304587573.1,491404689.2,264596251.7,
Bosnia and Herzegovina,BIH,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66736468.36,176780594.8,146075610.9,118495219.8,267769569,381784637.4,889597294.5,623812851.6,845962876.4,1841972230,1004852660,138511019.7,443840207.1,471610992.2,391976946.4,313295008.3,544866345.5,383089615.7,313198153.4,509429047.9,594804957.6,390210690.9,
Belarus,BLR,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7000000,17600000,10500000,14700000,104500000,351600000,203200000,444000000,118800000,95800000,247100000,171800000,163800000,306600000,357100000,1807300000,2187900000,1876500000,1393400000,4002400000,1463600000,2246100000,1862000000,1652300000,1246900000,1276300000,1426500000,1273300000,
Belize,BLZ,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,7090000,3340000,,,,,,,2000000,-50000,,-2000000,,,-3700000,3700000,4600000,6850000,14000000,18650000,17200000,13600000,15600000,9200000,15369500,21050000,16580000,11955000,17650000,58671500,29564651.92,61174888.87,25461176.88,-10924755.75,111496166.4,126908465.9,108828544.6,140373737.3,169668449.5,108840086.4,96449877.08,95348525.19,194201408.8,92247730.94,141097030.3,59119223.9,32733410.99,31831615.5,122041647,102890130.2,
Bermuda,BMU,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34700000,102700000,60500000,66900000,41800000,5400000,12900000,831600000,43700000,-88170000,617153591.8,171529641.6,-70747817.17,222710475.9,-257865988.6,47614095.07,54904045.83,-3425440.524,-143094386.1,-73213793.63,-288109271,95689121.5,119258666.7,
Bolivia,BOL,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,19764000,1900000,16205000,4600000,44233000,61597000,-8100000,-1200000,11500000,35000000,47000000,75700000,31100000,7000000,7000000,10000000,10000000,38100000,-10100000,-24400000,27200000,52000000,93100000,123800000,130200000,392700000,474100000,730600000,949300000,1010500000,736350000,705756000,676543000,197400000,65430000,-238620000,280763457,366294241.5,512335605.2,423040000,621997989.5,858941070.4,1059965391,1749612614,656566350.8,554643532.3,335365530.4,712474137.8,302368781.4,-159539118.4,
Brazil,BRA,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,391700000,449000000,459900000,1180700000,1207900000,1302000000,1555000000,1833000000,2006000000,2419000000,1911000000,2520000000,2910000000,1609000000,1594000000,1441000000,345000000,1169000000,2804000000,1131000000,989000000,1103000000,2061000000,1292000000,3072000000,4859000000,12552000000,19650000000,31913000000,28384000000,32994718700,23225846372,16586600193,10123013671,18181190855,15459981604,19378093068,44579492464,50716402711,31480932200,82389933624,1.02427E+11,92568379495,75211028087,87713987797,64738149686,74294617926,68885072606,78162572753,73503730876,
Barbados,BRB,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,10868499.99,15656171.64,19139837.19,5630300.31,2397684.534,4489152.483,6897500,4914000,8987000,30305500,29300000,37300000,35150000,16150000,36000000,4850000,7750000,7100000,25979409.31,8682963.92,11213282.8,7424921.25,14450000,9402113.87,12950000,63803750.15,15836484.06,28203499.05,29160482.23,47539505.12,73696943.91,91504910.94,228343253.8,184701288.6,228334500,390061395.9,342267498.2,476404577,615122884.6,356008255.1,425337312.6,459552936.4,528045664.5,104089451.2,753687476.1,688525943.3,557688983.7,206157500,241596500,215370000,
Brunei Darussalam,BRN,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,85530000,-17550000,-3780000,290000,2080000,850000,-30890000,-3290000,4570000,350000,-19570000,-11110000,6210000,3620000,800000,3670000,-6050000,-70000,460000,10000000,7000000,5000000,7000000,8000000,5890000,582760563.4,653600000,701740000,573250000,747868668.7,549607250.8,60694643.66,229671955.7,123820911.1,113205867,175068516.6,87839128.31,257635717.5,222184549.5,325586827.8,480722547,691170274.5,864905527.5,775641999.1,567889727.2,171289167.8,-150550827.3,467927550.3,516202620.6,373256767.2,
Bhutan,BTN,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,420000,,,,,,,,,,,,,,,,1600000,600000,,,,50000,1400000,-700000,,1050274.762,,,2425411.898,3370306.526,8859907.539,6210884.354,6122702.143,73855769.76,3144001.019,18299707.23,75274009.03,31141614.86,24380673.57,20433631.07,23534931.75,6450953.85,11884162.35,-16553759.95,2649712.662,13032399.58,
Botswana,BWA,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,70000,-38268702.25,11270002.83,12233365.11,40813517.29,127851715.1,111550709.4,88438639.82,21074900.89,23793769.12,62154696.15,53611787.59,70404390.66,113583514.2,39921524.13,42186013.02,95889963.04,-8211493.783,-1564184.906,-286949434.1,-14154569.01,70413220.76,71182310.71,100109748.7,95318134.92,36675065.78,57171313.17,30680473.55,407997828.6,418040911.9,390889365.3,420853645.9,486912042.1,494635511.7,520918009.9,208699416.1,218380384.2,293208111.9,163223420.6,67136668.83,515184275.5,378553780.9,122162734.7,177114236.2,228718290.8,260927936.1,
Central African Republic,CAF,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,1200000,700000,1500000,-200000,5800000,5600000,3700000,-2845168.071,6084486.344,22757439.74,5343631.085,5781443.352,9153812.428,4469041.686,5149252.034,2991566.436,8160415.318,11898718.65,-3827452.803,1285233.02,697850.0651,-4874038.732,-10676567.96,-9980132.279,3602275.009,6200565.764,10925575.5,1497424.054,7300593.947,5976946.527,889074.9126,5183898.81,5644286.559,11300000,15100000,10100000,34670000,56750000,117110000,42280000,61520000,36908455.89,70035157.33,1852792.612,3475007.991,3000000,7256090.484,6888751.401,18003535.39,25601157.42,
Canada,CAN,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,1827117680,2273318428,2110873961,3184571501,3723538435,3386183403,2450721216,3371826624,3740191708,5307737031,5813268735,663720808.3,90061244.11,4618560062,5675261449,1256760214,2709677621,8597306054,7196400040,7171648940,8401707941,3514220103,7018240063,4178460317,9541029102,13657593613,8817677647,15182400422,24979208298,27456044687,68303350856,28391098831,24486425377,7011792709,1452416545,25552226941,64302303097,1.20451E+11,70119614333,20951090410,29714744325,38338330427,49368985104,67027866778,64174605786,59986208237,34201872161,29109803320,46542783394,47845284757,
Central Europe and the Baltics,CEB,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,0,0,0,0,0,6000000,5000000,25000000,30000000,10000000,18000000,14000000,16000000,28000000,15000000,16000000,12000000,15000000,11000000,646819000,1849041210,2522640712,5563094009,5377514695,12558106072,11262472731,14298828887,19665293910,22103118135,23562956308,21625801493,26481834433,20414105078,43036013973,74726753475,81628039687,1.53393E+11,1.38572E+11,30638643458,20999218944,49965117218,39262771638,15256512424,52911345302,22439575379,1.15413E+11,28805971795,-23733499608,76338862348,
Switzerland,CHE,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,,,,,,,642643620.5,777125995.9,1267334792,2122388475,2320291937,405248411.1,2497180494,5544796310,2838789161,1128487634,1706937974,3682699145,4158247960,4880219416,8391921106,11345529735,14541329308,23080879763,9765012889,8258050580,19721053893,7102294153,2664910821,53760772986,48688296543,2990936685,47658570355,17670735603,20764483835,39943494322,-24926465857,21003091522,1.10013E+11,97894116826,1.29384E+11,-76220614843,-18382529056,
Channel Islands,CHI,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,12330000,-18970000,-1100000,-4800000,2310000,50000000,-1000000,21000000,181000000,244000000,213000000,383000000,401000000,135000000,78000000,144300000,315500000,890500000,967900000,1283500000,661200000,822700000,936100000,1034300000,2582100000,2957000000,4814616000,5271400000,4627817978,8761016218,4860015668,4199763049,2549923142,4026497833,6797252642,7462207180,7586190390,13474760473,18473102612,13855126065,16019683112,25564944877,31368232403,22210440993,23558041868,20879139389,12328624278,6127820993,7322612246,11928369565,
China,CHN,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,,,80000,57000000,265000000,430000000,636000000,1258000000,1659000000,1875000000,2314000000,3194000000,3393000000,3487000000,4366000000,11156000000,27515000000,33787000000,35849200000,40180000000,45439000000,45644000000,41014000000,42095300000,47053000000,53073618897,57900937467,68117272181,1.04109E+11,1.24082E+11,1.56249E+11,1.71535E+11,1.31057E+11,2.43703E+11,2.80072E+11,2.41214E+11,2.90928E+11,2.68097E+11,2.42489E+11,1.7475E+11,1.66084E+11,2.35365E+11,1.55815E+11,
Cote d'Ivoire,CIV,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,30700000,15700000,18700000,51000000,32600000,69060000,44780000,14650000,83310000,74750000,94660000,32750000,47470000,37530000,21740000,29160000,70750000,87510000,51700000,18490000,48434429.69,18524885.95,69053843.71,175153533.5,117538566.8,211760840.5,269194529.6,415458076.4,760099126.7,235348766.2,234701731.5,272679898.3,212580417.5,165390571.2,282979831,349059586.5,350964618.6,443801751.4,468377743.9,397624744.3,358468317.3,301972462.5,330255520.7,407592122.1,439356961.2,494408755.8,577871524.2,975014998.8,620330654.4,1008704755,
Cameroon,CMR,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,16000000,1700000,3300000,3100000,21600000,27100000,16400000,8710528.859,40548470.54,62099933.68,129827990,135391025.4,111440362.7,213821207.6,17667655.87,316229050.2,-90700157.51,115925994.9,92362479.48,-85734446.55,-112831336.8,-14498049.75,29203775.78,5120733.123,3674320.509,15105727.29,104417058.4,149614497.8,55231294.16,35009801.84,159708006.2,-11668387.38,505256043.3,334888535.9,67984855.64,243601636.5,59122291.34,189581294.6,20995513.74,746276649,536265313.2,653266626.6,527363935.6,547404749.8,725854540.9,694336734.9,663893595.2,814458940.9,765092012.8,781636119.5,
"Congo, Dem. Rep.",COD,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,6430000,5740000,10470000,17720000,51980000,9120000,238430000,18190000,97680000,143850000,109620000,69630000,-2370000,-192790000,-32450000,69190000,5550000,-55080000,-3940000,-6110000,-14460000,12390000,-730000,6870000,-1500000,-22350000,24790000,-44350000,61330000,11160000,94190400,102221900,187598693.7,391254723.5,409032814.5,180000000,256100000,1808000000,1726800000,-243200000,2742300000,1596024304,2891607809,1697585831,1499572152,1165720010,932374669.4,1047979483,1407563588,1350994226,
"Congo, Rep.",COG,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,5100000,48700000,66300000,68300000,46100000,15400000,2380000,1986323.673,4050415.527,16481632.66,40032269.02,30842951.46,35349296.93,56079518.98,34948545.69,12689672.8,22439698.31,43448956.41,9095236.529,-7125213.161,22551558.22,32753529.69,2739032.536,286054322.1,2990000,112782084.6,62427618.58,-49200799.91,-169664715.5,-68273606.08,-97897925.12,-135361238.2,199155451,219545648.8,88399286.1,800996241.6,1487693084,1422370639,1940120151,1184284701,1520744891,298288001.2,-69253909.37,1878325499,2887256932,4278118365,50574345.34,4416953734,4315250903,3366085029,
Colombia,COL,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,43000000,43128140,18457070,23842600,40889760,37068850,25000000,65000000,107000000,127000000,157137700,265000000,366000000,618000000,584000000,1023000000,674000000,319000000,203000000,576000000,500000000,456900000,728700000,959100000,1446497261,968368273.6,3111676590,5562216362,2828826262,1507907130,2436459923,2541942612,2133698124,1720493455,3115635874,10235419011,6750618035,8885767540,10564151395,8034752816,6429990957,14647043118,15039965981,16210410261,16168706611,11723937066,13847802735,13836696227,11535119873,14313721547,
Comoros,COM,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,,1920000,,0,0,150000,0,0,0,0,7546566.717,3767051.259,3266400.378,393003.1038,2506163.334,-1446978.125,190704.7806,177714.24,889525.0177,510000,20000,384216.3907,271000,93636.1151,1145914.995,430423.4793,793243.7346,672560.3786,558865.8,778420.2139,7691947.289,4650574.157,13839598.17,8350406.722,23118440.54,10375197.46,4231644.417,4684558.675,4936699.51,3569823.73,3919473.025,6859922.781,7859590.308,
Cabo Verde,CPV,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,-8734.1784,2786140.595,597911.68,174023.2565,252601.2166,1744334.228,450471.753,3644068.127,2128443.354,26180647.12,28528007.74,11576610.74,6793745.394,53935025.35,34202238.38,9010186.206,14759046.68,39216510.81,67638273.8,80513541.33,131539968,191764359.2,210903689.3,126003552.2,116200563.6,102246382.2,128009964.8,89297444,180589795.4,96071472.84,126312006.1,111711633.7,107974093.7,105301877.8,
Costa Rica,CRI,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,26345010,22100000,25846010,37700000,46310010,69022010,61952010,62500000,48600000,43500000,52600000,69600000,28900000,60700000,55900000,69900000,61000000,80300000,122200000,101300000,162500000,178400000,226000000,246700000,297600000,336900000,426950000,409440000,614500000,619469212,723426415.3,621846413.2,723172624.8,774386239.8,1083718486,1528787464,1801002598,2241492021,2436112218,1614614468,1906923793,2733268840,2696295211,3205384977,3242149797,2955521681,2620435491,2856006597,2763898445,2505080215,
Caribbean small states,CSS,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,347578500,342916171.6,298679837.2,269180300.3,305300684.5,178387131.8,162120408.7,100970960.8,117240333.4,115577068.7,316929902,443005555.7,274283333.4,228691666.7,115297352.9,43155758.85,-26018518.52,89487037.04,57234874.53,105774489,377432454.9,526483875.5,572953464.1,653965212.1,885069632.4,835726537.7,839764566.1,1685532067,1580922408,1666996131,1708338669,2038044659,2134414351,2329939021,2533129347,3284357854,3749496377,3938759458,6617474875,3006666779,2595458156,2241090590,672346250.5,928627334.7,3074962849,2927223449,2870741738,1948838679,2784951533,3701608821,
Cuba,CUB,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
